"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","branch_number","DM_gravity","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","vigor1_5","lodging1_3","root_number_commercial","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-118_527",1,527,12,26,"test","Muy mala. No raiz. Pudricion total (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-118","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",4,28.12204301,40,0.961538462,4,50,0.961538461538462,0.270404259711538,0.4,2,3,0,4,4,160,30,2,3,NA,5,NA,100,7,0,2,NA,NA,4,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-119_254",1,254,6,23,"test"," (Operator: lizbethpino, Time: )","AM1472A-119","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",0,24.53947368,140,1.201923077,4,25,1.20192307692308,0.294945597115385,0.5,3,1,0,4,5,140,10,1,3,1,5,2,260,13,0,1,1,3,4,1
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-120_627",1,627,14,18,"test"," (Operator: lizbethpino, Time: )","AM1472A-120","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",4,22.80416667,30,0.240384615,4,50,0.240384615384615,0.0548177083413462,0.1,3,3,0,4,5,150,20,2,3,1,5,2,150,6,1,2,2,3,3,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-121_669",1,669,15,25,"test","Alta pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-121","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",0,29.46330049,110,2.403846154,4,100,2.40384615384615,0.708252415625,1,3,1,0,4,5,110,20,3,3,1,5,2,440,34,0,4,1,2,5,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-122_156",1,156,4,29,"test","No hay raiz (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-122","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,4,25,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-123_756",1,756,17,20,"test"," (Operator: lizbethpino, Time: )","AM1472A-123","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-124_674",1,674,15,30,"test","Flecos (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-124","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",4,25.6819202,40,3.125,4,75,3.125,0.80256000625,1.3,3,3,1,4,4,200,30,3,3,1,4,3,850,48,0,3,2,3,1,4
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-12_500",1,500,11,40,"test","No Raiz. Pudricion Total (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-12","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",0,NA,110,NA,4,75,NA,NA,NA,3,1,NA,4,5,110,10,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-125_247",1,247,6,30,"test"," (Operator: lizbethpino, Time: )","AM1472A-125","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-126_2",1,2,1,2,"test"," (Operator: lizbethpino, Time: )","AM1472A-126","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-127_251",1,251,6,26,"test"," (Operator: lizbethpino, Time: )","AM1472A-127","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,4,100,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-128_162",1,162,4,23,"test"," (Operator: lizbethpino, Time: )","AM1472A-128","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,4,25,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-129_10",1,10,1,10,"test","Alta Pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-129","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",2,31.65,50,4.326923077,4,100,4.32692307692308,1.36947115384615,1.8,3,1,0,4,4,140,30,4,3,1,4,2,720,64,0,4,1,2,1,1
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-130_738",1,738,17,2,"test","Alta Pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-130","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",2,23.29626866,140,2.403846154,4,75,2.40384615384615,0.560006458173077,1,3,3,0,4,3,190,30,3,3,1,5,3,210,9,0,3,2,3,1,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-132_578",1,578,13,26,"test","Alta Pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-132","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",2,27.12448276,100,0.721153846,4,75,0.721153846153846,0.195609250673077,0.3,3,3,0,4,4,180,20,2,3,1,5,2,310,20,0,3,2,3,4,4
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-133_357",1,357,8,12,"test"," (Operator: lizbethpino, Time: )","AM1472A-133","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",2,30.3412243,80,10.81730769,4,100,10.8173076923077,3.28210359014423,4.5,3,1,7,4,3,180,40,4,1,1,3,3,3550,291,0,4,1,2,1,1
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-13_407",1,407,9,39,"test","No Raiz. Pudricion Total (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-13","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,4,25,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-134_114",1,114,3,22,"test"," (Operator: lizbethpino, Time: )","AM1472A-134","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,23.16648352,NA,0.961538462,4,100,0.961538461538462,0.222754649230769,0.4,3,NA,0,4,NA,NA,NA,3,1,1,5,2,190,8,0,4,1,2,5,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-136_478",1,478,11,18,"test"," (Operator: lizbethpino, Time: )","AM1472A-136","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",2,31.40824635,30,3.125,4,75,3.125,0.9815076984375,1.3,3,1,0,4,4,150,10,2,3,1,4,2,1050,92,0,3,1,3,4,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-138_389",1,389,9,21,"test"," (Operator: lizbethpino, Time: )","AM1472A-138","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",2,31.55963211,160,3.846153846,4,50,3.84615384615385,1.21383200423077,1.6,3,1,2,4,3,200,20,2,3,1,3,3,1640,145,0,2,1,3,4,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-140_798",1,798,18,31,"test"," (Operator: lizbethpino, Time: )","AM1472A-140","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",0,23.69527027,140,0.480769231,4,100,0.480769230769231,0.113919568605769,0.2,3,3,0,4,4,140,30,4,3,1,5,2,310,14,0,4,2,3,3,2
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-142_552",1,552,12,1,"test","Alta Pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-142","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",0,22.5404,120,0.480769231,4,100,0.480769230769231,0.108367307692308,0.2,3,2,0,4,5,120,20,3,1,1,5,1,260,10,0,4,1,2,4,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-144_70",1,70,2,23,"test"," (Operator: lizbethpino, Time: )","AM1472A-144","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",2,34.22970297,90,4.086538462,4,75,4.08653846153846,1.39880997713942,1.7,3,2,3,4,3,190,30,1,3,1,3,3,1800,184,1,3,1,3,2,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-145_337",1,337,8,32,"test"," (Operator: lizbethpino, Time: )","AM1472A-145","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,4,25,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-146_766",1,766,17,30,"test","Alta Pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-146","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",3,26.12820163,30,2.884615385,4,100,2.88461538461538,0.753698123942308,1.2,3,2,0,4,4,160,20,4,1,1,4,2,780,46,0,4,2,2,5,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-149_379",1,379,9,11,"test","Alta Pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-149","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",2,24.84236364,80,0.961538462,4,75,0.961538461538462,0.238868881153846,0.4,3,2,0,4,4,200,40,1,1,1,5,2,290,15,0,3,1,2,4,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-14_98",1,98,3,6,"test"," (Operator: lizbethpino, Time: )","AM1472A-14","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",0,NA,120,NA,4,25,NA,NA,NA,3,1,NA,4,NA,120,10,NA,3,1,5,2,NA,NA,NA,1,2,3,1,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-150_430",1,430,10,31,"test","Alta Pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-150","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",3,28.14935795,70,2.403846154,4,100,2.40384615384615,0.676667258413462,1,3,2,0,4,4,140,20,4,3,1,5,2,670,47,0,4,1,3,3,5
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-15_176",1,176,4,9,"test"," (Operator: lizbethpino, Time: )","AM1472A-15","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,29.08957637,70,3.125,4,50,3.125,0.9090492615625,1.3,2,1,1,4,4,150,30,1,3,1,3,2,970,73,0,2,1,2,1,3
